Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Net ODA provided, total (current US$)",DC.ODA.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International migrant stock, total",SM.POP.TOTL,430447,,,,,208299,,,,,168949,,,,,160287,,,,,184995,,,,,288665,,,,,273954,,,,,262032,,,,,250110,,,,,247537,,,,,244964,,,,,242391,,,,,,,
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.36,,,,,,,,,
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64,21.26,20.6,24.38,26.23,27.74,31.84,,25.43,,,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12,,,,,
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.14,20.71,17,,,,,,26.17,,,29.72,,,25.44,18.19,,,,,18.1,19.1,,16.99,16.3,15.582,16.566,18.247,20.62,,,,,
Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.43,,,,,,,,,,,,,11.26,,,,,
"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.85,,,,,,,,,,,,,10.19,,,,,
"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.43,,,,,,,,,,,,,25.36,,,,,
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.97,18.68,,24.92,21.6,22.29,26.722,22.072,25.66,,,,,
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23808135,12.2710542,12.36656802,12.42511131,12.52120018,12.7074907,12.89422211,13.10137295,13.32810984,13.57631211,13.82894896,14.08830407,14.35356115,14.62230728,14.89565646,15.17682588,15.46424632,15.76123726,16.06680481,16.38081564,16.54327213,17.42538387,18.3385409,18.71377939,17.8314945,19.04724736,19.7316658,19.59683644,19.46083392,19.3455946,19.22961388,19.5184357,19.81385312
Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,,,,,40.68,,,,,,,,,41.2,,36.71,,,20.03,,,17.99,36.43,38.08,,42.14,,,,,,,,,44.92,27.52,,,27.02,27.79,,,,,,,41.7,41.43,41.71,40.15,42,43.2,41.151,41.708,41.871,41.77,,,,,
Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,,,,,,,3.524282427,,,,,,,,,4.091022134,,5.27634693,,,,,,7.227488152,8.667056416,12.28752521,,10.18324607,,,,,,,,,15.25948877,15.57480981,,,14.16400426,,,,,,,,,20.31750655,20.5634621,,23.30383481,23.88489209,23.52408274,24.3902439,25.47751542,25.93882495,,,,,
"Labor force with basic education, male (% of male working-age population with basic education)",SL.TLF.BASC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.96,,,,,
"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.22,,,,,
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.953,41.089,41.026,41.196,41.268,41.018,40.709,39.697,38.688,37.684,36.686,35.696,34.715,33.744,32.787,31.844,30.918,30.008,29.116,28.243,28.185,27.604,27.026,26.466,25.952,25.172,24.545,24.47,24.418,24.401,22.358,23.045,23.514
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.058,15.153,15.204,15.331,15.429,15.422,15.362,14.771,14.181,13.616,13.051,12.491,11.931,11.375,10.833,10.3,9.789,9.29,8.809,8.347,9.071,9.272,9.46,9.349,8.634,9.464,9.057,8.993,8.948,8.926,8.065,8.457,8.73
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.489552213,,,,,,,,,
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42311.0782,43654.29865,42094.90593,40978.29698,43602.19864,41703.87263,39119.84109,40589.37159,41755.50776,43131.14954,41886.39383,42422.4506,43251.71231,40966.27374,41446.46173,40057.84275,41462.99812,40652.68394,40188.7027,40467.74202,40755.28102,41765.53115,40591.06838,44247.08422,44695.00349,44808.17039,44897.43137,44904.96459,44751.80817,45285.48837,45029.24239,44980.76271
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.64,,,,,,,,,
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.03606,61.94759,61.72296,61.48589,61.41896,61.4367,61.35299,61.47792,61.63679,61.89245,62.121,63.38718,64.77432,65.40591,66.08289,66.30224,66.45982,66.43711,66.11134,65.93468,65.58855,66.77113,67.94481,67.69384,67.38514,67.14106,66.89052,66.70354,66.43637,67.55082,68.04016,
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.756107,37.788412,37.838041,37.909347,37.948863,37.912246,37.854881,37.741562,37.340777,36.779152,36.401713,34.226003,32.049456,30.702484,29.33919,28.199576,27.199632,26.278625,25.621708,24.841977,24.152319,24.295099,24.413945,24.180335,24.007099,23.723473,23.452032,23.395268,23.390483,22.241384,21.71487,
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,,,,,,,,,,,,,,,,49.04,,,,,,,,,60.42,,,,,,,,,,,,,,,,,,,,,,,,,62.78,63.28,,,,60.14,60.2,61.051,60.01,,,,,
"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.20111,38.28446,38.48556,38.70036,38.7645,38.74429,38.81124,38.69337,38.50457,38.20481,37.95043,36.54304,35.02799,34.2763,33.48732,33.11649,32.82964,32.69583,32.86463,32.8933,32.97218,31.9613,31.03448,31.20772,31.40818,31.55871,31.73116,31.88237,32.10817,31.02723,30.52589,
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.83366,7.857555,7.884456,7.912773,7.935953,7.951999,7.980529,7.98119,7.969065,7.925387,7.84689,7.233048,6.655277,6.268871,5.863078,5.488012,5.107027,4.75872,4.417936,4.095381,3.822508,4.200327,4.584898,4.728331,4.883692,5.035895,5.183959,5.202694,5.215433,4.963367,4.978065,
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.234,37.958,36.199,34.634,29.828,33.325,35.916,33.507,30.741,28.182,29.851,29.808,30.49,34.958,35.913,38.743,36.368,37.426,37.977,37.494,35.899,32.658,33.118,32.715,29.223,30.473,30.246,30.087,29.983,26.305,27.648,28.288
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79225,23.69586,23.68506,23.65332,23.47942,23.28775,23.09041,22.73818,22.52913,22.21172,21.71543,21.73323,21.72203,21.34046,19.44116,17.85444,16.20978,14.71542,13.32389,11.99493,10.77196,10.87523,10.99006,9.312096,9.562264,9.86951,10.16129,10.00731,9.940742,10.5245,10.32379,
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,23.9,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,
"Multidimensional poverty headcount ratio, male (% of male population)",SI.POV.MDIM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",SI.POV.MDIM.17.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,24.2,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,7,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,
Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,,,,,,,42.6,,,,,,,,,,,,,,,,37.2,,,,,,,,,,,
"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.18803381,80.54771775,86.16945053,84.45120047,107.9507094,113.6832297,125.1628474,142.5886467,149.271722,198.9499344,205.0063167,209.4833422,216.5543826,228.8428172,239.0092383,248.6332032,249.3340925,252.269792,253.0140112,263.2866764,274.9820094,,
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.02295786,14.59126071,15.07986879,16.12276348,24.2740737,28.45987801,34.19812725,42.6326256,54.34613978,57.35163242,66.44808395,80.36291628,86.57843026,91.82556549,96.27951687,82.62690548,80.95584802,84.47725996,84.13257964,83.68518506,76.92707557,,
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78805256,9.36117744,8.18993282,8.5764122,8.21980286,8.26942062,7.96090317,8.02394962,7.97150946,8.9178381,9.54484844,9.27085114,10.05012035,11.85087872,11.61058521,10.73311901,10.73426056,10.73431587,10.73443604,10.73095131,10.73076916,,
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03241736,0.03116472,0.02979527,0.03829156,0.04353941,0.08040982,0.06144141,0.10052078,0.07619053,0.10760916,0.06476168,0.05682066,0.10766644,0.06606419,0.12811003,0.07859187,0.05270428,0.07508852,0.06946136,0.11168751,0.08572689,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48903275,3.83787704,3.7300415,3.60104108,3.5440731,3.23516107,3.35510349,3.82141757,4.20188284,5.35939837,5.11716986,5.26748085,6.00050974,6.03576279,6.54721403,6.97849178,6.60749817,6.27938414,6.16302586,6.25170851,6.32117987,,
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,84,89,90,91,87,91,90,90,91,89,92,90,91,88,90,,91,85,86,89,90,
"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,7.1,,,9.6,,,,,3.1,,9.6,,,,4.1,,,,,,4.1,,,,,,,2.7,,,
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,22.7,22.8,22.7,22.5,22.1,22.2,22.3,22.4,22.5,22.3,22.3,21.4,21.1,21.2,21.2,21.1,21,21,20.9,,,
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,22.9,,,22.6,,,,,23.6,,24,,,,15.4,,,,,,11.7,,,,,,,9.8,,,
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,
"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.7778,399.7778,399.7778,399.7778,399.7778,399.7778,,,
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37,,,,,,,,,,,,,,,,,,,,
Time required to obtain an operating license (days),IC.FRM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,
"Time to export, border compliance (hours)",IC.EXP.TMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,80,80,80,,,
Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0.2,0.2,0.2,0.2,0.3,2.3,2.4,2,1.9,3,2.9,3.2,3.6,,,
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188689019,0.158544625,0.199481682,0.192454496,0.170339039,0.191739039,0.30946129,0.3037555,0.327979309,0.311346049,0.336151388,0.372107583,0.353296737,,,,
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524350703,,,,,,,0.512,0.520891547,,0.522380054,,
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513028145,,,,,,,0.495,0.506278992,,0.50736165,,
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531282902,,,,,,,0.523,0.531993926,,0.534556448,,
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.010929108,,6.010929108,,4.371584892,,16.75675583,16.21621704,20.39801025,26.47058868,27.31707382,18.44660187,16.9902916,20.57416344,25.35885239,19.9052124,23.69668198,25.11848259,25,24.76190567,21.90476227,18.5714283,19.04761887,15.23809528,16.19047546,12.85714245,15.56603813
Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other expense (% of expense),GC.XPN.OTHR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation of employees (current LCU),GC.XPN.COMP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes on exports (current LCU),GC.TAX.EXPT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.28,,,55.32,,,48.96,,,,46.23,
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.41,,,40.07,,,29.27,,,,31.19,
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.902165939,-4.04920736,8.136645383,15.1040086,-0.095922627,-10.334378,10.02084082,7.16825386,-0.189912529,-3.784161739,-6.997051368,-2.303736049,1.508207772,-6.339904754,21.56907236,-6.992750803,-8.65109043,0.504068364,8.100862838,8.325605574,15.45325878,6.352723357,1.512675423,1.164122496,8.512257439,13.71531471,-6.548107196,-11.12397431
Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,,,,,4.954516498,5.812907033,4.28632306,3.432007221,3.867444828,5.732274236,7.517779483,5.275320942,6.323981342,3.366731801,2.490771814,4.507588452,4.185110977,4.83581381,5.266767925,3.7484021,3.450736464,4.276150619,6.03827936,8.640088995,12.26662389,9.586419961,12.56402599,12.24408202,15.52435641,13.1250661,14.17733809,6.488950215,7.515796814,6.845113878,4.005412029,3.727752884,2.460661018,1.798220596,2.415971646,3.340358893,1.528983013,1.58581868,1.415549125,1.202423476,1.106824074,0.938853876,0.822926454,0.752457634,0.727259835,0.64717647,0.653059417,0.711358832,0.708245839,0.746918371,0.909960015,0.903773909,1.045152546,1.286910239,1.632922524,1.926769441,2.354377981,2.644695297,2.24993653
Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,,,,,14.94764169,18.10898792,15.54507662,17.23931839,23.52473391,32.18621504,28.44051036,35.00871245,47.72993733,49.13802343,42.00649728,49.96541139,53.55384694,49.90439961,53.82227679,51.98721525,48.50830715,52.57105497,62.16137017,65.06718023,66.49738339,68.72982799,69.31185043,67.53259218,68.14677827,63.19371516,56.14321672,46.28916649,7.254817644,6.617753019,6.489104896,5.199387035,5.364902709,3.907416857,4.563822482,5.388089302,5.965639986,8.014264515,12.19979248,11.22232538,10.99777897,11.92915054,12.11709798,12.99010389,12.7957995,16.26580586,15.20824099,13.71592242,14.02530668,16.49789106,18.35197806,21.71173301,22.8758054,24.40295773,24.90139579,25.80757388,29.54528267,25.8147408,21.10047856
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,,,,,,7.06795302,-6.014753168,7.077349022,8.739674927,-3.75,18.81937871,-2.608030593,-10.60682226,-2.194167264,-21.67763481,9.464493597,7.481924855,10.84533529,17.3163173,-0.865711024,6.963319906,-10.23423385,5.84861755,9.176154906,7.649795692,1.997771124,11.01089967,7.785354336,7.531718212,2.414281569,2.513735328,-3.275040487,13.56520271,54.93336468,-11.88942506,-10.00136109,-16.60695099,14.56787504,10.82594982,9.036779394,-11.64190876,3.357893761,-0.64910247,-6.820437204,-14.12218153,-28.04819801,-10.27742988,-19.05675316,-24.85647144,0.176702218,-0.8709926,-3.805727784,-2.515247553,-0.309010191,10.37699877,20.49560192,16.06574371,15.496816,10.41733979,3.724056284,11.91630224,19.77511196,0.11738645
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,265802800,311729450,185716410,237218040,194924560,184224560,273085970,442988000,532109700,410627600,352276530,537318203.6,640169273.5,1526311529,2474721194,1895709477,2502228025,2590691196,3229638828,5517255565,7063796833,5914588650,4972783276,4010232279,3185336009,4644533024,3842516472,4343099115,3190542199,3085702760,2703474408,3459969141,3317517177,3655668338,4813488033,4164319964,6296459575,9666874795,8452272525,6146079211,13556106802,19625060613,25151012703,35454600266,45691652467,59167068864,81462730475,1.14972E+11,1.48099E+11,1.55112E+11,1.70461E+11,1.91369E+11,2.00587E+11,2.01437E+11,1.86351E+11,1.50595E+11,1.20788E+11,1.04853E+11,87382910154,71795950715,59434389110,56211005199,71852290094
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.92,23.14,23.19,27.61,28.76,34.75,34.6,39.08,42.58,45.02,42.54,44.24,39.19,40.64,42.9,50.27,46.69,46.79,
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.14155081,18.31,14.39830596,11.72638145,10.56397122,9.934960475,9.767345351,12.08915906,12.95850229,12.69740126,14.75576106,16.36388963,,
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,969.6853278,954.8948656,939.6420939,923.4673271,908.389262,891.6715405,872.0554946,852.6284069,833.6659003,815.2413232,797.0789505,778.8917092,760.6278416,742.1997753,715.2445339,681.6150477,656.4067918,637.8509861,619.0902055,600.180006,581.199551,562.3473007,543.8032897,525.7196919,508.1574244,491.5098416,476.8486322,463.9273873,451.8771706,440.7464294,430.3604838,420.4752728,411.1598139,402.5842998,394.9361371,388.0331903,381.5642615,375.8437688,370.6244394,365.4634772,360.469389,355.6397823,350.8560348,345.9531114,341.2660677,336.3832238,330.9515435,325.3437298,319.5530224,313.6683428,307.7698464,301.8472909,295.9688085,290.1690209,284.4234428,278.8097938,273.4065228,268.251917,263.3626761,258.8393274,,
